colecao,nome_produto,avaliacao_aprovacao,numero_avaliacoes,preco
MYSELF,PINGENTE BUZIO COM CAIXA DE METAL - DOURADO,width:94.0%;,3 Avaliações,"R$ 87,00"
MYSELF,BOTTON LETRA T - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA M - DOURADO,width:100.0%;,1 Avaliação,"R$ 87,00"
MYSELF,BOTTON LETRA N - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA L - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA J - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA F - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA D - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA C - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA B - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA A - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA K - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA H - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA P - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA R - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA E - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,PINGENTE BUZIO - DOURADO,width:100.0%;,2 Avaliações,"R$ 48,00"
MYSELF,BOTTON LETRA O - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA V - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BRINCO MEIA ARGOLA TORCIDA M - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,COLAR CHOKER MYSELF PEROLINHAS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,COLAR CORRENTE PALITINHOS - DOURADO,width:100.0%;,2 Avaliações,"R$ 147,00"
MYSELF,BRINCO MEIA ARGOLA TORCIDA M - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,BRINCO MEIA ARGOLA - DOURADO,width:100.0%;,1 Avaliação,"R$ 117,00"
MYSELF,BRINCO MEIA ARGOLA TORCIDA G - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 207,00"
MYSELF,COLAR CURTO BOLINHAS - DOURADO,width:80.0%;,1 Avaliação,"R$ 117,00"
MYSELF,BRINCO MEIA ARGOLA COM STRASS - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,BRINCO MEIA ARGOLA 25mm - DOURADO,width:100.0%;,1 Avaliação,"R$ 105,00"
MYSELF,BRINCO MEIA ARGOLA 15mm - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 105,00"
MYSELF,BRINCO ARGOLA P - DOURADO,width:80.0%;,1 Avaliação,"R$ 117,00"
MYSELF,BRINCO MEIA ARGOLA COM STRASS - DOURADO,width:100.0%;,1 Avaliação,"R$ 117,00"
MYSELF,BRINCO ARGOLA MINI - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BRINCO ARGOLA COM ZIRCONIA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 237,00"
MYSELF,BRACELETE PERSONALIZADO - DOURADO,width:100.0%;,2 Avaliações,"R$ 477,00"
MYSELF,BOTTON LETRA Z - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,BOTTON LETRA X - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 87,00"
MYSELF,COLAR CURTO COM BOLINHAS - DOURADO,width:100.0%;,2 Avaliações,"R$ 177,00"
MYSELF,COLAR CURTO COM ZIRCONIAS - DOURADO,width:100.0%;,1 Avaliação,"R$ 267,00"
MYSELF,COLAR CURTO MYSELF ELOS - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 537,00"
MYSELF,COLAR CURTO MYSELF TORCIDA 3MM - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 207,00"
MYSELF,COLAR CURTO MYSELF PÉROLAS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 597,00"
MYSELF,COLAR CURTO MYSELF ELOS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 537,00"
MYSELF,"COLAR CURTO MYSELF GROUMETT 2,5MM - PRATEADO",width:0.0%;,Seja o primeiro a avaliar,"R$ 597,00"
MYSELF,"COLAR CURTO MYSELF GROUMETT 2,5MM - DOURADO",width:0.0%;,Seja o primeiro a avaliar,"R$ 597,00"
MYSELF,COLAR CURTO FIO DE CRISTAL VERDE - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,COLAR CURTO FIO DE CRISTAL ROSA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,COLAR CURTO FIO DE CRISTAL - DOURADO,width:90.0%;,2 Avaliações,"R$ 117,00"
MYSELF,COLAR CURTO FIO DE CRISTAL CORAL - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 117,00"
MYSELF,COLAR CURTO CORRENTE CARTIER - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 147,00"
MYSELF,COLAR GARGANTILHA ARO - DOURADO,width:100.0%;,4 Avaliações,"R$ 147,00"
MYSELF,COLAR CURTO MYSELF TORCIDA 6MM - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 477,00"
MYSELF,COLAR CURTO MYSELF TORCIDA 4MM - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 297,00"
MYSELF,COLAR CURTO MYSELF TORCIDA 4MM - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 297,00"
MYSELF,COLAR CURTO MYSELF TORCIDA 3MM - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 207,00"
MYSELF,COLAR GARGANTILHA ARO GANCHO - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 237,00"
MYSELF,COLAR LONGO CORRENTE CARTIER - DOURADO,width:100.0%;,1 Avaliação,"R$ 237,00"
MYSELF,COLAR LONGO FIO DE CRISTAL - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 147,00"
MYSELF,COLAR LONGO COM ZIRCONIAS - DOURADO,width:100.0%;,2 Avaliações,"R$ 207,00"
MYSELF,COLAR LONGO VENEZIANA COM BOLINHAS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 207,00"
MYSELF,COLAR LONGO FECHO ARGOLA - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 267,00"
MYSELF,COLAR LONGO COM PEROLINHAS - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 177,00"
MYSELF,COLAR LONGO ELO REDONDO MENOR - DOURADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 207,00"
MYSELF,COLAR LONGO BOLINHAS - DOURADO,width:100.0%;,1 Avaliação,"R$ 207,00"
MYSELF,COLAR LONGO FIO DE CRISTAL - PRATEADO,width:0.0%;,Seja o primeiro a avaliar,"R$ 147,00"
